Model Name,Window Size,Future Steps,Batch Size,Epochs,Units,LSTM Layers,MSE,MAE,R2
model_20241013-114517_ws1_fs30_bs1_epochs30_units32_layers3.keras,1,30,1,30,32,3,40.04752870466131,3.674719129114935,0.9873236558940033
model_20241013-114525_ws10_fs4_bs128_epochs30_units8_layers3.keras,10,4,128,30,8,3,15.200035351091527,2.643914451780714,0.9953074691590877
model_20241013-121438_ws2_fs60_bs1_epochs30_units2_layers1.keras,2,60,1,30,2,1,788.8840085128555,27.71602986653646,-28.02261791714244
model_20241013-121522_ws60_fs10_bs30_epochs30_units2_layers2.keras,60,10,30,30,2,2,1416.419705546205,37.52986602783203,-186.66211389146335
model_20241013-121751_ws1_fs5_bs30_epochs30_units64_layers3.keras,1,5,30,30,64,3,141.53744794121013,11.530401611328125,-21.217108480898123
model_20241013-121757_ws5_fs30_bs256_epochs30_units8_layers3.keras,5,30,256,30,8,3,1100.6919380143286,32.69463907877604,-71.07175932032617
model_20241013-121855_ws5_fs30_bs5_epochs30_units16_layers3.keras,5,30,5,30,16,3,280.51422853122153,16.35753479003906,-17.36767697336036
model_20241013-121904_ws15_fs10_bs256_epochs30_units16_layers3.keras,15,10,256,30,16,3,219.85473646372557,14.42733154296875,-28.12865758099794
model_20241013-122034_ws60_fs30_bs512_epochs30_units128_layers2.keras,60,30,512,30,128,2,30.994855837935273,4.664152526855469,-1.029499547484464
model_20241013-122102_ws60_fs60_bs64_epochs30_units12_layers2.keras,60,60,64,30,12,2,190.73848805339853,13.030067952473958,-6.017166276830435
model_20241013-122108_ws5_fs4_bs128_epochs30_units8_layers3.keras,5,4,128,30,8,3,458.7111862550955,21.24547576904297,-56.71669981611907
model_20241013-122120_ws1_fs5_bs5_epochs30_units32_layers1.keras,1,5,5,30,32,1,6.186197339976206,1.9428680419921875,0.02895368409085297
model_20241013-122126_ws1_fs60_bs30_epochs30_units128_layers1.keras,1,60,30,30,128,1,76.83380723772183,7.319856516520182,-1.8266743989188563
model_20241013-122210_ws15_fs60_bs5_epochs30_units64_layers1.keras,15,60,5,30,64,1,142.6830375303553,10.922054290771484,-4.249232126415091
model_20241013-122248_ws60_fs5_bs64_epochs30_units6_layers3.keras,60,5,64,30,6,3,194.13989789835176,13.614401245117188,-29.474105862568155
model_20241013-122337_ws60_fs5_bs512_epochs30_units32_layers3.keras,60,5,512,30,32,3,126.85626153997146,11.074319458007812,-18.912605215867604
model_20241013-122341_ws1_fs10_bs256_epochs30_units12_layers3.keras,1,10,256,30,12,3,733.9239923648769,26.919596862792968,-96.23793541106036
model_20241013-122453_ws30_fs3_bs5_epochs30_units8_layers1.keras,30,3,5,30,8,1,26.286136945243925,4.30291748046875,-1.5580792532305776
model_20241013-123142_ws20_fs4_bs1_epochs30_units32_layers3.keras,20,4,1,30,32,3,5.155814838479273,1.7660980224609375,0.35127673739677623
model_20241013-123155_ws60_fs3_bs128_epochs30_units2_layers2.keras,60,3,128,30,2,2,1790.729036661253,42.27912902832031,-173.267782534305
model_20241013-123204_ws15_fs60_bs30_epochs30_units2_layers1.keras,15,60,30,30,2,1,1389.2201662626856,36.95480066935222,-50.10866192387012
model_20241013-124341_ws20_fs4_bs1_epochs30_units32_layers2.keras,20,4,1,30,32,2,13.284206582582556,3.5325164794921875,-0.671466898118867
model_20241013-124346_ws10_fs10_bs64_epochs30_units16_layers1.keras,10,10,64,30,16,1,57.62380535306875,6.559388732910156,-6.634605110818509
model_20241013-124452_ws15_fs5_bs5_epochs30_units5_layers3.keras,15,5,5,30,5,3,335.9220459634904,18.21538391113281,-51.72962487917741
model_20241013-124507_ws10_fs30_bs64_epochs30_units32_layers3.keras,10,30,64,30,32,3,333.16205179103804,17.893556213378908,-20.814982359793717
model_20241013-124517_ws20_fs30_bs128_epochs30_units64_layers1.keras,20,30,128,30,64,1,41.67652867385962,5.382893371582031,-1.7289204546258623
model_20241013-124524_ws1_fs4_bs128_epochs30_units64_layers3.keras,1,4,128,30,64,3,100.43781769979978,9.393024444580078,-11.63744933209821
model_20241013-124527_ws5_fs3_bs512_epochs30_units5_layers2.keras,5,3,512,30,5,2,1194.9631281682134,34.22491963704427,-115.28982961285612
model_20241013-124533_ws1_fs5_bs14_epochs30_units6_layers1.keras,1,5,14,30,6,1,114.66065961308777,10.456744384765624,-16.99826371161801
model_20241013-124538_ws15_fs60_bs256_epochs30_units2_layers2.keras,15,60,256,30,2,2,3969.004391921397,62.540733337402344,-145.01753456169575
model_20241013-124804_ws60_fs3_bs5_epochs30_units6_layers2.keras,60,3,5,30,6,2,58.57719235820696,7.134745279947917,-4.7005371613244264
